,0
2461,608
2462,0
2463,0
2464,0
2465,0
2466,0
2467,636
2468,0
2469,0
2470,0
2471,0
2472,909
2473,0
2474,1075
2475,246
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,190
2486,166
2487,0
2488,484
2489,0
2490,0
2491,487
2492,1420
2493,0
2494,1371
2495,380
2496,0
2497,0
2498,0
2499,69
2500,0
2501,1150
2502,0
2503,0
2504,939
2505,0
2506,0
2507,0
2508,1029
2509,0
2510,0
2511,0
2512,1232
2513,1199
2514,0
2515,0
2516,0
2517,388
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,1005
2527,0
2528,0
2529,0
2530,1009
2531,434
2532,0
2533,0
2534,0
2535,246
2536,0
2537,0
2538,0
2539,0
2540,0
2541,1110
2542,0
2543,1206
2544,156
2545,0
2546,0
2547,249
2548,0
2549,0
2550,0
2551,12
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,1147
2560,710
2561,0
2562,686
2563,0
2564,0
2565,0
2566,0
2567,0
2568,793
2569,0
2570,0
2571,1118
2572,0
2573,463
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2582,1298
2583,0
2584,0
2585,0
2586,1208
2587,1321
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,151
2596,0
2597,2
2598,0
2599,1517
2600,383
2601,726
2602,272
2603,0
2604,0
2605,1063
2606,0
2607,0
2608,0
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,0
2617,1268
2618,0
2619,0
2620,720
2621,1033
2622,0
2623,952
2624,260
2625,0
2626,0
2627,0
2628,0
2629,0
2630,11
2631,1114
2632,1014
2633,0
2634,0
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,1455
2648,1038
2649,0
2650,0
2651,0
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,121
2661,1291
2662,0
2663,0
2664,0
2665,0
2666,586
2667,600
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,248
2680,1111
2681,0
2682,27
2683,1156
2684,1289
2685,0
2686,1263
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,558
2694,256
2695,0
2696,0
2697,1130
2698,0
2699,0
2700,0
2701,0
2702,0
2703,428
2704,436
2705,999
2706,0
2707,0
2708,0
2709,1181
2710,729
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2717,98
2718,1243
2719,522
2720,0
2721,0
2722,1051
2723,0
2724,1199
2725,0
2726,94
2727,320
2728,0
2729,762
2730,0
2731,0
2732,0
2733,1222
2734,0
2735,0
2736,0
2737,983
2738,1299
2739,839
2740,0
2741,0
2742,0
2743,0
2744,0
2745,0
2746,0
2747,0
2748,1084
2749,0
2750,709
2751,501
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,0
2759,0
2760,0
2761,777
2762,0
2763,0
2764,0
2765,0
2766,0
2767,0
2768,0
2769,606
2770,0
2771,0
2772,25
2773,0
2774,0
2775,0
2776,0
2777,0
2778,0
2779,0
2780,605
2781,0
2782,0
2783,0
2784,0
2785,0
2786,0
2787,0
2788,0
2789,0
2790,0
2791,0
2792,0
2793,1394
2794,0
2795,0
2796,674
2797,0
2798,0
2799,0
2800,0
2801,1203
2802,162
2803,0
2804,1336
2805,0
2806,1450
2807,776
2808,0
2809,0
2810,440
2811,0
2812,0
2813,0
2814,0
2815,995
2816,0
2817,0
2818,0
2819,1157
2820,0
2821,0
2822,880
2823,418
2824,333
2825,0
2826,0
2827,0
2828,0
2829,0
2830,0
2831,0
2832,1551
2833,0
2834,0
2835,0
2836,0
2837,0
2838,0
2839,0
2840,627
2841,0
2842,0
2843,0
2844,0
2845,0
2846,972
2847,0
2848,0
2849,352
2850,0
2851,411
2852,0
2853,0
2854,172
2855,1458
2856,649
2857,0
2858,1006
2859,0
2860,0
2861,0
2862,467
2863,0
2864,0
2865,1253
2866,0
2867,0
2868,11
2869,0
2870,0
2871,0
2872,0
2873,0
2874,0
2875,0
2876,0
2877,0
2878,0
2879,0
2880,114
2881,0
2882,0
2883,0
2884,100
2885,958
2886,1484
2887,903
2888,0
2889,587
2890,0
2891,0
2892,0
2893,0
2894,0
2895,0
2896,0
2897,0
2898,0
2899,0
2900,0
2901,0
2902,0
2903,0
2904,233
2905,0
2906,0
2907,766
2908,337
2909,1440
2910,0
2911,0
2912,176
2913,0
2914,0
2915,0
2916,0
2917,400
2918,0
2919,1369
2920,0
2921,1057
2922,0
2923,0
2924,1529
2925,0
2926,0
2927,0
2928,0
2929,1002
2930,0
2931,0
2932,0
